Quarter,Channel,Customer ID,Country,Product Line,Revenue,Product Cost,Customer Service Cost,Profit
1,BRH,CAM,USA,Credit Products,598,712,95,-209
4,EML,HEC,USA,Revolving Credit Products,481,318,42,121
3,TEL,WEM,USA,Credit Products,841,324,53,464
1,TEL,FRT,USA,Deposit Products,606,336,67,203
1,INT,MRT,USA,Credit Products,1325,1334,159,-168
2,BRH,INB,USA,Credit Products,698,589,112,-3
4,CCT,MAM,USA,Credit Products,2386,3059,337,-1010
3,BRH,STF,USA,Revolving Credit Products,615,252,41,322
4,ATM,WEB,USA,Third Party Products,675,502,55,118
1,TEL,WEM,USA,Revolving Credit Products,536,464,48,25
3,INT,MRT,USA,Revolving Credit Products,1818,1373,315,129
4,CCT,EBP,USA,Deposit Products,1071,451,93,527
3,INT,HEC,USA,Credit Products,516,479,72,-35
2,ATM,HEC,USA,Deposit Products,536,470,93,-27
4,ATM,MRT,USA,Other Products,1665,718,175,772
1,EML,EBP,Canada,Credit Products,378,226,42,110
4,ATM,EBP,USA,Other Products,936,356,58,523
1,EML,MRT,USA,Credit Products,1269,779,103,386
4,MAL,EBP,USA,Credit Products,1140,851,160,129
1,EML,WEB,USA,Credit Products,890,686,75,129
2,ATM,RPB,USA,Fee Based Products,739,515,124,100
4,ATM,WEB,Great Britain,Revolving Credit Products,560,376,72,112
4,BRH,CAM,USA,Revolving Credit Products,608,259,52,297
2,EML,WEM,USA,Deposit Products,1290,1383,281,-375
1,ATM,WEM,USA,Fee Based Products,748,941,121,-314
1,TEL,MRT,USA,Credit Products,664,227,47,391
4,EML,IAS,USA,Credit Products,406,162,40,203
3,MAL,RPB,USA,Credit Products,1797,1420,347,30
2,EML,MRT,USA,Other Products,491,378,54,58
2,ATM,STF,USA,Credit Products,1225,521,128,575
2,MAL,MRT,USA,Deposit Products,1355,1217,270,-133
3,ATM,MAM,USA,Fee Based Products,640,460,73,107
4,BRH,FRT,USA,Deposit Products,3644,3843,797,-996
4,ATM,MAM,USA,Fee Based Products,956,1123,230,-397
1,MAL,STF,USA,Revolving Credit Products,317,234,55,28
4,CCT,RPB,USA,Credit Products,2018,1624,354,40
2,ATM,MAM,USA,Fee Based Products,735,260,31,444
2,ATM,MAM,USA,Revolving Credit Products,5247,3714,495,1037
1,ATM,AGR,Canada,Revolving Credit Products,516,360,37,119
2,TEL,FRT,USA,Deposit Products,760,328,57,376
1,CCT,FRT,USA,Credit Products,1407,946,108,354
3,ATM,MRT,Canada,Credit Products,314,222,50,42
1,ATM,WEB,USA,Third Party Products,458,474,71,-87
4,ATM,EBP,Canada,Credit Products,932,513,86,332
2,MAL,CRE,USA,Credit Products,469,616,88,-236
2,INT,PBI,USA,Other Products,369,388,73,-92
1,ATM,WEB,Canada,Deposit Products,358,368,49,-60
3,BRH,IAS,USA,Deposit Products,367,216,51,100
3,ATM,CAM,USA,Deposit Products,549,266,57,226
2,EML,HEC,USA,Credit Products,390,132,20,238
3,MAL,PBI,USA,Other Products,560,315,35,211
4,ATM,IAS,USA,Revolving Credit Products,1596,683,162,750
4,EML,WEB,USA,Revolving Credit Products,822,605,73,144
4,ATM,IAS,USA,Deposit Products,634,547,132,-46
4,CCT,MAM,USA,Deposit Products,1591,1509,266,-183
4,ATM,STF,USA,Credit Products,1428,1767,362,-700
3,EML,RPB,USA,Deposit Products,1392,1637,275,-520
3,EML,RPB,USA,Revolving Credit Products,1645,2002,412,-768
3,EML,PBI,USA,Deposit Products,1414,1234,141,39
2,BRH,FRT,USA,Credit Products,2612,1662,274,675
4,MAL,EBP,USA,Deposit Products,1486,983,201,302
1,ATM,IAS,USA,Revolving Credit Products,1338,605,141,592
1,EML,FRT,USA,Deposit Products,1530,1469,175,-114
4,BRH,RPB,USA,Other Products,794,1002,222,-430
1,TEL,FRT,USA,Credit Products,732,855,178,-301
1,ATM,EBP,Canada,Credit Products,764,602,70,91
4,MAL,INB,USA,Revolving Credit Products,358,462,57,-160
4,EML,SBE,USA,Credit Products,482,351,81,50
4,BRH,MRT,USA,Credit Products,3156,2178,249,728
2,INT,STF,USA,Revolving Credit Products,272,197,26,49
2,ATM,AGR,Canada,Credit Products,777,540,98,139
2,ATM,EBP,Canada,Credit Products,724,625,147,-47
4,EML,WEB,Great Britain,Revolving Credit Products,278,128,23,127
3,INT,INB,USA,Revolving Credit Products,364,456,50,-142
3,ATM,EBP,USA,Third Party Products,328,117,17,194
2,INT,RPB,USA,Deposit Products,1184,502,52,629
2,INT,PBI,USA,Deposit Products,1372,1708,417,-752
4,BRH,INB,USA,Revolving Credit Products,553,715,162,-325
2,EML,WEM,USA,Fee Based Products,378,402,61,-85
1,EML,WEB,USA,Revolving Credit Products,762,858,208,-304
1,INT,FRT,USA,Revolving Credit Products,1386,1397,263,-274
1,MOP,MRT,USA,Deposit Products,268,263,64,-59
4,INT,MRT,USA,Deposit Products,1587,1959,487,-859
1,INT,PBI,USA,Revolving Credit Products,1771,1896,457,-581
2,INT,SBE,USA,Revolving Credit Products,306,126,15,165
4,CCT,CAM,USA,Credit Products,300,259,47,-7
1,EML,INB,USA,Credit Products,380,247,48,84
3,BRH,INB,USA,Credit Products,681,524,114,43
2,BRH,MAM,USA,Third Party Products,273,213,29,31
4,DSA,WEM,USA,Credit Products,363,442,67,-146
1,CCT,WEM,USA,Fee Based Products,290,219,32,38
4,INT,RPB,USA,Fee Based Products,334,370,52,-88
1,BRH,SBE,USA,Credit Products,491,214,37,240
2,ATM,WEB,Canada,Deposit Products,494,242,36,216
1,ATM,WEB,Finland,Credit Products,287,239,33,15
4,MAL,WEB,USA,Credit Products,1166,521,125,520
3,MAL,EBP,USA,Revolving Credit Products,1102,382,78,643
4,ATM,WEM,Canada,Credit Products,267,194,32,41
4,BRH,MRT,USA,Other Products,816,375,80,361
4,BRH,INB,USA,Credit Products,743,277,68,398
4,MAL,HEC,USA,Credit Products,460,416,95,-52
3,INT,WEB,Great Britain,Credit Products,287,159,23,105
4,TEL,WEM,USA,Revolving Credit Products,767,938,174,-346
2,MAL,EBP,USA,Credit Products,1019,458,55,506
2,ATM,SBE,USA,Credit Products,875,1151,271,-547
4,ATM,AFF,USA,Credit Products,223,190,32,0
3,ATM,MRT,USA,Third Party Products,670,336,77,256
2,ATM,EBP,USA,Fee Based Products,706,341,72,293
2,BRH,WEB,USA,Fee Based Products,299,172,43,83
4,ATM,STF,USA,Deposit Products,576,658,77,-159
4,ATM,CAM,USA,Revolving Credit Products,1284,910,174,201
4,CCT,WEB,USA,Other Products,309,294,47,-32
3,ATM,IAS,USA,Deposit Products,517,382,68,66
2,ATM,MRT,Canada,Deposit Products,341,176,28,137
3,ATM,WEM,Canada,Credit Products,308,275,51,-18
4,MAL,IAS,USA,Credit Products,559,446,55,57
1,EML,PBI,USA,Deposit Products,1216,679,118,419
1,ATM,MRT,USA,Fee Based Products,768,548,61,160
3,CCT,WEM,USA,Other Products,432,174,20,237
1,ATM,PBI,Canada,Revolving Credit Products,233,209,35,-11
3,EML,MRT,USA,Other Products,564,264,47,253
4,DSA,MAM,USA,Credit Products,355,461,75,-181
2,CCT,INB,USA,Revolving Credit Products,649,349,85,215
4,ATM,MFN,Great Britain,Revolving Credit Products,302,261,57,-17
1,INT,RPB,USA,Fee Based Products,338,166,35,136
1,EML,MAM,USA,Revolving Credit Products,1671,1780,204,-313
2,BRH,EBP,USA,Other Products,646,743,132,-229
4,EML,RPB,USA,Other Products,317,279,34,4
1,ATM,CRE,USA,Revolving Credit Products,881,1070,251,-440
1,BRH,WEM,USA,Third Party Products,299,390,74,-164
2,EML,HEC,USA,Revolving Credit Products,422,518,91,-187
2,MAL,CAM,USA,Revolving Credit Products,378,225,42,111
1,MAL,EBP,USA,Deposit Products,1086,1246,225,-385
3,EML,WEM,USA,Other Products,287,363,64,-140
4,TEL,EBP,USA,Revolving Credit Products,335,423,61,-149
3,ATM,PBI,USA,Fee Based Products,771,982,187,-398
3,INT,CAM,USA,Credit Products,244,299,69,-123
4,MOP,MAM,USA,Revolving Credit Products,249,234,51,-36
3,MAL,WEB,USA,Other Products,252,245,43,-36
4,BRH,SBE,USA,Revolving Credit Products,1087,437,107,544
2,INT,IAS,USA,Credit Products,313,298,43,-28
2,ATM,CAM,USA,Revolving Credit Products,1084,693,76,315
4,DSA,PBI,USA,Revolving Credit Products,315,265,37,13
3,BRH,WEB,USA,Third Party Products,264,292,64,-91
1,BRH,WEB,USA,Revolving Credit Products,1583,848,147,589
1,MAL,RPB,USA,Revolving Credit Products,1591,1729,233,-371
2,ATM,INB,USA,Deposit Products,525,277,33,214
4,EML,RPB,USA,Third Party Products,225,180,36,8
4,ATM,PBI,Canada,Credit Products,260,211,40,9
2,MAL,EBP,USA,Fee Based Products,294,295,67,-68
4,MAL,CRE,USA,Credit Products,517,389,97,32
1,ATM,WEB,USA,Fee Based Products,487,354,80,53
4,ATM,AGR,Canada,Deposit Products,264,331,80,-147
4,BRH,WEM,USA,Other Products,853,918,155,-220
3,ATM,INB,USA,Revolving Credit Products,1331,669,108,554
3,DSA,WEM,USA,Deposit Products,304,332,34,-63
1,CCT,EBP,USA,Deposit Products,955,901,140,-86
3,ATM,IAS,USA,Credit Products,1224,1520,371,-667
1,ATM,AGR,Canada,Credit Products,714,490,72,152
3,INT,IAS,USA,Revolving Credit Products,294,321,51,-79
2,CCT,IAS,USA,Revolving Credit Products,408,503,68,-164
3,BRH,RPB,USA,Deposit Products,2936,3845,657,-1566
4,MAL,HEC,USA,Revolving Credit Products,237,166,18,52
4,INT,CRE,USA,Deposit Products,209,77,17,115
1,TEL,RPB,USA,Revolving Credit Products,404,409,52,-56
4,ATM,MRT,New Zealand,Revolving Credit Products,204,182,25,-3
2,TEL,RPB,USA,Deposit Products,541,388,88,66
4,EML,WEB,USA,Other Products,513,313,45,155
1,INT,RPB,USA,Revolving Credit Products,1711,1404,204,103
4,ATM,PBI,Brazil,Revolving Credit Products,185,188,23,-27
2,TEL,PBI,USA,Revolving Credit Products,716,470,105,141
1,TEL,MAM,USA,Credit Products,625,244,57,324
1,BRH,FRT,USA,Fee Based Products,485,498,99,-112
2,BRH,CRE,USA,Credit Products,719,812,182,-276
1,EML,WEB,Great Britain,Revolving Credit Products,272,335,58,-121
4,MOP,FRT,USA,Revolving Credit Products,249,294,50,-95
2,MOP,WEM,USA,Revolving Credit Products,254,198,20,36
1,ATM,WEB,USA,Deposit Products,3474,1633,389,1452
3,TEL,HEC,USA,Revolving Credit Products,255,326,53,-124
1,INT,WEM,USA,Other Products,371,491,106,-226
4,TEL,RPB,USA,Revolving Credit Products,642,823,108,-289
3,BRH,HEC,USA,Credit Products,447,282,64,101
3,ATM,INB,USA,Deposit Products,557,499,125,-66
4,MAL,SBE,USA,Revolving Credit Products,306,338,52,-84
3,MAL,MAM,USA,Deposit Products,1448,999,181,268
1,BRH,MAM,USA,Fee Based Products,340,259,58,23
2,INT,MRT,USA,Credit Products,1457,563,69,824
4,ATM,FRT,USA,Third Party Products,598,791,177,-369
4,EVE,FRT,USA,Credit Products,164,142,30,-8
4,ATM,AGR,Canada,Credit Products,925,420,82,423
2,EML,PBI,USA,Other Products,405,522,105,-221
2,ATM,WEM,USA,Third Party Products,531,233,25,273
1,DSA,MAM,USA,Credit Products,363,258,41,64
3,ATM,AGR,Canada,Revolving Credit Products,562,736,100,-274
3,ATM,AGR,Mexico,Revolving Credit Products,201,164,27,10
4,BRH,INB,USA,Deposit Products,235,156,28,50
1,TEL,SBE,USA,Revolving Credit Products,236,103,18,115
4,ATM,WEM,USA,Third Party Products,630,420,87,123
4,MAL,MRT,USA,Fee Based Products,209,115,22,72
4,ATM,MFN,Germany,Revolving Credit Products,196,214,43,-60
1,BRH,STF,USA,Revolving Credit Products,576,368,70,137
4,ATM,WEM,Puerto Rico,Deposit Products,165,152,20,-7
4,TEL,INB,USA,Revolving Credit Products,233,149,27,57
2,CCT,RPB,USA,Other Products,406,476,64,-135
1,ATM,WEM,USA,Third Party Products,356,155,22,178
1,CCT,RPB,USA,Deposit Products,1337,1096,114,127
4,INT,IAS,USA,Credit Products,386,187,45,154
3,MAL,CAM,USA,Credit Products,427,452,70,-95
4,BRH,PBI,USA,Third Party Products,434,282,29,123
4,ATM,MAM,Hong Kong,Deposit Products,172,92,13,67
1,ATM,MAM,USA,Other Products,1195,1359,180,-343
1,ATM,CAM,USA,Revolving Credit Products,1084,1135,135,-186
4,MAL,STF,USA,Credit Products,293,293,62,-62
2,MAL,HEC,USA,Credit Products,385,478,50,-143
2,INT,RPB,USA,Credit Products,1637,1501,253,-117
1,ATM,WEB,Japan,Revolving Credit Products,164,190,45,-71
4,ATM,WEB,Columbia,Other Products,137,62,12,63
3,ATM,WEB,USA,Deposit Products,4194,5245,845,-1895
4,ATM,AGR,Switzerland,Deposit Products,160,206,30,-77
3,CCT,HEC,USA,Revolving Credit Products,259,121,17,121
4,MAL,IAS,USA,Revolving Credit Products,398,374,43,-19
1,ATM,MAM,Canada,Deposit Products,222,109,11,101
4,ATM,MRT,Uruguay,Revolving Credit Products,137,95,20,23
2,DSA,MRT,USA,Deposit Products,153,153,35,-35
4,MAL,WEB,Netherlands,Credit Products,144,134,28,-17
4,CCT,AGR,Canada,Revolving Credit Products,170,208,32,-69
2,CCT,MRT,USA,Revolving Credit Products,1574,1491,319,-236
4,TEL,EBP,Canada,Deposit Products,269,185,41,43
3,ATM,FRT,USA,Third Party Products,636,322,66,247
2,EVE,MRT,USA,Revolving Credit Products,197,98,13,86
4,ATM,MAM,Great Britain,Revolving Credit Products,214,249,37,-72
4,ATM,MFN,Korea,Deposit Products,151,155,36,-40
2,TEL,PBI,USA,Deposit Products,433,531,65,-163
4,ATM,PBI,Venezuela,Fee Based Products,155,181,20,-47
3,CCT,CRE,USA,Revolving Credit Products,371,286,53,32
4,EML,MAM,USA,Deposit Products,1592,1988,403,-799
4,BRH,AGR,Mexico,Revolving Credit Products,167,171,34,-38
4,TEL,MAM,USA,Other Products,159,73,8,78
4,ATM,FRT,Finland,Revolving Credit Products,157,206,29,-78
1,TEL,EBP,USA,Credit Products,227,144,24,59
2,TEL,MRT,USA,Credit Products,716,885,124,-293
3,EML,RPB,USA,Fee Based Products,309,305,37,-33
4,ATM,AGR,Brazil,Deposit Products,190,66,13,111
4,CCT,WEB,USA,Third Party Products,188,159,31,-2
1,BRH,HEC,USA,Deposit Products,249,216,39,-5
1,BRH,STF,USA,Credit Products,481,272,53,156
2,BRH,WEM,USA,Revolving Credit Products,3153,4070,499,-1416
4,ATM,RPB,Panama,Deposit Products,144,93,21,30
2,MAL,EBP,USA,Other Products,405,391,50,-36
2,BRH,MAM,USA,Credit Products,3238,1912,261,1064
4,ATM,AGR,Brazil,Revolving Credit Products,239,87,10,142
3,BRH,WEB,Canada,Deposit Products,200,125,26,49
4,ATM,PBI,Netherlands,Other Products,150,134,14,2
3,TEL,WEB,Great Britain,Revolving Credit Products,208,197,21,-11
4,INT,MRT,USA,Revolving Credit Products,1990,2017,294,-320
4,INT,HEC,USA,Credit Products,511,310,59,142
4,INT,INB,USA,Revolving Credit Products,409,430,79,-100
4,ATM,FRT,Sweden,Credit Products,139,60,10,69
2,MAL,RPB,USA,Fee Based Products,130,114,27,-11
2,ATM,PBI,Canada,Revolving Credit Products,186,171,28,-14
1,EML,AGR,Canada,Revolving Credit Products,141,51,11,78
4,ATM,MAM,Great Britain,Deposit Products,207,174,30,3
4,ATM,WEM,Mexico,Credit Products,162,162,34,-34
3,EML,WEM,USA,Fee Based Products,214,181,23,10
3,TEL,MAM,USA,Deposit Products,454,245,28,181
2,BRH,FRT,USA,Revolving Credit Products,2826,1969,294,563
4,ATM,WEB,Sweden,Credit Products,160,118,27,15
1,EML,MRT,USA,Other Products,430,328,81,20
4,ATM,PBI,China,Deposit Products,138,93,16,29
4,ATM,EBP,Guatemala,Fee Based Products,136,131,28,-23
1,TEL,SBE,USA,Credit Products,202,84,19,99
2,EML,CRE,USA,Credit Products,329,199,42,88
4,ATM,FRT,Canada,Revolving Credit Products,177,121,28,28
3,ATM,WEM,Canada,Revolving Credit Products,221,88,16,116
4,ATM,MAM,South Africa,Revolving Credit Products,137,146,26,-34
4,MOP,MRT,USA,Credit Products,229,102,17,111
2,TEL,EBP,USA,Revolving Credit Products,341,389,82,-130
1,BRH,WEB,Great Britain,Deposit Products,195,160,32,3
1,EML,MAM,USA,Other Products,170,72,16,83
2,INT,WEB,USA,Fee Based Products,156,153,22,-18
4,BRH,WEB,Great Britain,Credit Products,289,375,91,-176
4,MAL,WEB,Canada,Credit Products,151,95,10,47
4,ATM,MAM,Malaysia,Third Party Products,144,122,28,-7
1,EML,EBP,USA,Fee Based Products,173,128,31,14
4,ATM,WEM,Venezuela,Other Products,177,66,8,102
4,ATM,AGR,Canada,Revolving Credit Products,619,695,73,-149
3,CCT,HEC,USA,Credit Products,421,388,81,-48
3,EML,WEB,Canada,Credit Products,134,145,28,-39
3,BRH,WEB,Japan,Revolving Credit Products,164,143,21,1
3,INT,SBE,USA,Credit Products,342,295,41,6
