"Zip";"Area"
"8870";"Langå"
"6940";"Lem St"
"8632";"Lemming"
"7620";"Lemvig"
"6660";"Lintrup"
"6640";"Lunderskov"
"8520";"Lystrup"
"9940";"Læsø"
"8831";"Løgstrup"
"9670";"Løgstør"
"6240";"Løgumkloster"
"9480";"Løkken"
"8723";"Løsning"
"8670";"Låsby"
"8340";"Malling"
"9550";"Mariager"
"5290";"Marslev"
"5960";"Marstal"
"5390";"Martofte"
"5370";"Mesinge"
"5500";"Middelfart"
"5642";"Millinge"
"5462";"Morud"
"5330";"Munkebo"
"9632";"Møldrup"
"8544";"Mørke"
"8320";"Mårslet"
"9240";"Nibe"
"8581";"Nimtofte"
"6430";"Nordborg"
"5800";"Nyborg"
"7900";"Nykøbing M"
"9610";"Nørager"
"6830";"Nørre Nebel"
"8766";"Nørre Snede"
"5580";"Nørre Aaby"
"9400";"Nørresundby"
"8300";"Odder"
"5000";"Odense C"
"5230";"Odense M"
"5270";"Odense N"
"5210";"Odense NV"
"5240";"Odense NØ"
"5260";"Odense S"
"5250";"Odense SV"
"5220";"Odense SØ"
"5200";"Odense V"
"6840";"Oksbøl"
"5450";"Otterup"
"5883";"Oure"
"6855";"Outrup"
"6330";"Padborg"
"9490";"Pandrup"
"7183";"Randbøl"
"8900";"Randers C"
"8920";"Randers NV"
"8930";"Randers NØ"
"8940";"Randers SV"
"8960";"Randers SØ"
"9681";"Ranum"
"8763";"Rask Mølle"
"7970";"Redsted M"
"6760";"Ribe"
"5750";"Ringe"
"6950";"Ringkøbing"
"8240";"Risskov"
"8240";"Risskov Ø"
"7870";"Roslev"
"5900";"Rudkøbing"
"8680";"Ry"
"5350";"Rynkeby"
"8550";"Ryomgård"
"5856";"Ryslinge"
"6630";"Rødding"
"6230";"Rødekro"
"8840";"Rødkærsbro"
"6792";"Rømø"
"8410";"Rønde"
"8471";"Sabro"
"9493";"Saltum"
"8305";"Samsø"
"8600";"Silkeborg"
"9870";"Sindal"
"6093";"Sjølund"
"9990";"Skagen"
"8832";"Skals"
"5485";"Skamby"
"8660";"Skanderborg"
"7800";"Skive"
"6900";"Skjern"
"6780";"Skærbæk"
"8541";"Skødstrup"
"9520";"Skørping"
"5881";"Skårup Fyn"
"7752";"Snedsted"
"8355";"Solbjerg"
"6560";"Sommersted"
"8641";"Sorring"
"8981";"Spentrup"
"6971";"Spjald"
"8472";"Sporup"
"7860";"Spøttrup"
"7270";"Stakroge"
"8781";"Stenderup"
"5771";"Stenstrup"
"7850";"Stoholm Jyll"
"9280";"Storvorde"
"7140";"Stouby"
"9970";"Strandby"
"7600";"Struer"
"9530";"Støvring"
"9541";"Suldrup"
"9381";"Sulsted"
"7451";"Sunds"
"5700";"Svendborg"
"9230";"Svenstrup J"
"6470";"Sydals"
"9300";"Sæby"
"5985";"Søby Ærø"
"7280";"Sønder Felding"
"7260";"Sønder Omme"
"6092";"Sønder Stenderup"
"6400";"Sønderborg"
"5471";"Søndersø"
"7550";"Sørvad"
"6880";"Tarm"
"9575";"Terndrup"
"8653";"Them"
"7700";"Thisted"
"8881";"Thorsø"
"7680";"Thyborøn"
"7790";"Thyholm"
"8381";"Tilst"
"6980";"Tim"
"6360";"Tinglev"
"6862";"Tistrup"
"8830";"Tjele"
"6731";"Tjæreborg"
"6520";"Toftlund"
"5690";"Tommerup"
"8310";"Tranbjerg J"
"5953";"Tranekær"
"8380";"Trige"
"8570";"Trustrup"
"9382";"Tylstrup"
"6270";"Tønder"
"7160";"Tørring"
"9830";"Tårs"
"7171";"Uldum"
"6990";"Ulfborg"
"5540";"Ullerslev"
"8860";"Ulstrup"
"9430";"Vadum"
"6580";"Vamdrup"
"7184";"Vandel"
"6800";"Varde"
"5474";"Veflinge"
"6600";"Vejen"
"6853";"Vejers Strand"
"7120";"Vejle Øst"
"7100";"Vejle"
"5882";"Vejstrup"
"7570";"Vemb"
"7742";"Vesløs"
"9380";"Vestbjerg"
"5762";"Vester Skerninge"
"7770";"Vestervig"
"8800";"Viborg"
"8260";"Viby J"
"6920";"Videbæk"
"7480";"Vildbjerg"
"7980";"Vils"
"7830";"Vinderup"
"5492";"Vissenbjerg"
"6052";"Viuf"
"9310";"Vodskov"
"6500";"Vojens"
"7173";"Vonge"
"6623";"Vorbasse"
"9760";"Vrå"
"5970";"Ærøskøbing"
"6870";"Ølgod"
"5853";"Ørbæk"
"6973";"Ørnhøj"
"8950";"Ørsted"
"8586";"Ørum Djurs"
"8752";"Østbirk"
"7990";"Øster Assels"
"9750";"Østervrå"
"6200";"Aabenraa"
"9440";"Aabybro"
"8230";"Åbyhøj"
"9000";"Aalborg"
"9200";"Aalborg SV"
"9210";"Aalborg SØ"
"9220";"Aalborg Øst"
"9982";"Ålbæk"
"9620";"Aalestrup"
"8000";"Aarhus C"
"8200";"Aarhus N"
"8210";"Aarhus V"
"6818";"Årre"
"5792";"Årslev"
"9600";"Aars"
"5560";"Aarup"
