ship,order_id,item_id,item_desc,quantity,price,order_date,delivery_date,delivery_place,received_date,supplier,delivery_cost,order_year
Ship-11,356715603401,601.002.143,"O-ring, Viton",10,404.345,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.140,Sealing ring,10,5767.8625,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.077,"U-sealing ring, PTFE",10,7432.8125,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.194,"O-ring, Viton",8,237.85,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.134,"O-ring, Viton",10,321.0975,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.135,Sealing ring f. valve stem,10,3210.975,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.076,"O-ring, Viton",14,2021.7250000000001,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-13,367515600901,601.068.025,Filter for Pressure Reducer,2,3301.437875,2015-02-23,2015-02-27,Delivery Place-105,2015-04-05,Supplier-644,NA,2015
Ship-13,367515600901,601.068.013,Scavenging Air Filter (Sinter Bronze),10,990.4313625000001,2015-02-23,2015-02-27,Delivery Place-105,2015-04-05,Supplier-644,NA,2015
Ship-20,376415603401,601.004.028,"Sealing ring, complete",2,16173.800000000001,2015-02-27,2015-03-20,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415603401,601.004.039,Scraper ring,4,27590.600000000002,2015-02-27,2015-03-20,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415603401,601.004.023,Scraper ring,1,20574.024999999998,2015-02-27,2015-03-20,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-11,356715607001,601.004.005,"Piston ring, CPR-POP, H=9.5mm, alu-coat",4,40612.887500000004,2015-03-27,2015-03-31,Delivery Place-105,2015-04-28,Supplier-447,NA,2015
Ship-11,356715607001,601.004.006,"Piston ring, left, H=8mm, alu-coat",8,24320.162500000002,2015-03-27,2015-03-31,Delivery Place-105,2015-04-28,Supplier-447,NA,2015
Ship-14,367615606001,601.026.049,"Pump barrel with plunger, compl.",5,172857.48750000002,2015-04-08,2015-04-10,Delivery Place-46,2015-04-16,Supplier-447,88750,2015
Ship-20,376415606701,601.002.214,Thrust piece,7,6897.6500000000005,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.220,Dowel pin,7,237.85,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.218,Bushing,1,15222.4,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.229,Roller,1,14865.625,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.228,Stop screw,7,237.85,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.223,Piston,1,13379.0625,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.225,Cam lock washer,7,237.85,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.224,Disc,2,1902.8,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.227,Shaft pin,2,11416.800000000001,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.231,O-ring,9,237.85,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415606701,601.002.222,Piston ring,12,3627.2125,2015-04-10,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-11,356715607002,601.004.007,Piston Ring No. 3,4,3501.117485316132,2015-04-13,2015-04-16,Delivery Place-105,2015-04-28,Supplier-374,NA,2015
Ship-11,356715610101,601.003.015,Piston Cleaning Ring,4,56846.15,2015-04-14,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-11,356715610101,601.004.011,D-Ring,8,7254.425,2015-04-14,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-11,356715610101,601.003.004,Cylinder Liner IMO Number 1848265-3,1,503766.3,2015-04-14,2015-04-16,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-11,356715610102,601.004.008,Piston Crown IMO Number 1848264-1,4,278242.7875,2015-04-14,2015-05-23,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-11,356715610103,601.004.003,Locking Wire,5,9573.4625,2015-04-14,2015-04-24,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-10,356515610601,601.026.049,"Pump Barrel, Complete",2,172857.48750000002,2015-04-15,2015-04-21,Delivery Place-105,2015-05-10,Supplier-447,NA,2015
Ship-9,356415608501,601.002.286,Gasket,20,237.85,2015-04-16,2015-04-22,Delivery Place-105,2015-04-24,Supplier-447,NA,2015
Ship-13,367515609001,601.068.025,Filter for Pressure Reducer,10,2149.83101,2015-05-04,2015-05-08,Delivery Place-105,2015-06-18,Supplier-224,17128.75,2015
Ship-13,367515609001,601.068.013,Scavenging Air Filter (Sinter Bronze),20,687.4459625,2015-05-04,2015-05-08,Delivery Place-105,2015-06-18,Supplier-224,17128.75,2015
Ship-21,376515607201,601.001.001,"Thermocouple TC-87-02,  Model: MPT 100K, Type: K, Temp :0-600 C, Class:B, Tube:",4,23231.798714599998,2015-05-07,2015-05-09,Delivery Place-84,2015-07-01,Supplier-703,NA,2015
Ship-19,376315606301,601.028.001,"High-Pressure Pipe, Complete",2,27388.151089900002,2015-05-12,2015-07-20,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315606301,601.028.010,"High-Pressure Pipe, Complete",2,27388.151089900002,2015-05-12,2015-07-20,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315607101,601.026.125,Fuel nozzle,14,34190.9375,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-19,376315607101,601.026.128,Fuel valve head,10,35082.875,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-19,376315607101,601.026.135,"O-ring, Viton",28,321.0975,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-19,376315607101,601.026.131,"O-ring, Viton",28,321.0975,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-19,376315607101,601.026.133,"O-ring, Viton",28,321.0975,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-19,376315607101,601.026.137,Additional disc +15 bar,20,2200.1125,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-19,376315607101,601.026.126,Holder,1,20990.2625,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-19,376315607101,601.026.127,"O-ring, Viton",28,321.0975,2015-05-12,2015-07-01,Delivery Place-105,2015-09-07,Supplier-447,NA,2015
Ship-21,376515605401,601.026.052,Suction valve,7,41148.049999999996,2015-05-12,2015-05-18,Delivery Place-105,2015-07-01,Supplier-447,NA,2015
Ship-21,376515605401,601.026.025,"O-ring, Viton",10,665.98,2015-05-12,2015-05-18,Delivery Place-105,2015-07-01,Supplier-447,NA,2015
Ship-21,376515605401,601.026.017,"O-ring, Viton",14,487.5925,2015-05-12,2015-05-18,Delivery Place-105,2015-07-01,Supplier-447,NA,2015
Ship-21,376515605401,601.026.018,"Back-up ring, PTFE",14,1843.3374999999999,2015-05-12,2015-05-18,Delivery Place-105,2015-07-01,Supplier-447,NA,2015
Ship-21,376515605401,601.028.009,"O-ring, Viton",28,237.85,2015-05-12,2015-05-18,Delivery Place-105,2015-07-01,Supplier-447,NA,2015
Ship-12,356815604201,601.059.063,"Temperature Sensor for M.E. Exh, Gas TC 8702",10,29198.75,2015-05-20,2015-06-19,Delivery Place-105,2015-08-17,Supplier-398,4224.5,2015
Ship-20,376415609701,601.026.308,Wearing Ring,2,3616.98692735,2015-05-20,2015-07-20,Delivery Place-84,2015-10-10,Supplier-703,1331.25,2015
Ship-20,376415609701,601.026.309,Sealing Ring,2,1847.0195671000001,2015-05-20,2015-07-20,Delivery Place-84,2015-10-10,Supplier-703,1331.25,2015
Ship-20,376415609701,601.026.327,"Spring, Internal",1,2282.5320406,2015-05-20,2015-07-20,Delivery Place-84,2015-10-10,Supplier-703,1331.25,2015
Ship-20,376415609701,601.026.307,Piston,1,18773.9377038,2015-05-20,2015-07-20,Delivery Place-84,2015-10-10,Supplier-703,1331.25,2015
Ship-20,376415609701,601.026.324,"Spring, External",1,3013.96965635,2015-05-20,2015-07-20,Delivery Place-84,2015-10-10,Supplier-703,1331.25,2015
Ship-13,367515615401,601.055.081,"O-ring, Viton",3,6838.1875,2015-05-22,2015-06-12,Delivery Place-105,2015-06-18,Supplier-447,NA,2015
Ship-13,367515615401,601.055.089,Spray nozzle,12,6540.875,2015-05-22,2015-06-12,Delivery Place-105,2015-06-18,Supplier-447,NA,2015
Ship-13,367515615401,601.055.086,Packing,4,677.8725,2015-05-22,2015-06-12,Delivery Place-105,2015-06-18,Supplier-447,NA,2015
Ship-19,376315609601,601.026.041,Sealing Ring,7,61.418425750000004,2015-06-01,2015-06-10,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315609601,601.026.018,Back-Up Ring,14,331.65949905,2015-06-01,2015-06-10,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315609601,601.026.034,Sealing Ring,12,2820.7807899000004,2015-06-01,2015-06-10,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315609601,601.026.026,Back-Up Ring,14,235.62341515,2015-06-01,2015-06-10,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315609601,601.026.017,O-Ring,14,362.92706125000007,2015-06-01,2015-06-10,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315609601,601.026.027,Sealing Ring,16,88.21919335000001,2015-06-01,2015-06-10,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-19,376315609601,601.026.037,Sealing Ring,16,694.5865603,2015-06-01,2015-06-10,Delivery Place-84,2015-07-26,Supplier-703,NA,2015
Ship-12,356815610101,601.003.013,Sealing Ring,100,321.0975,2015-06-15,2015-06-17,Delivery Place-105,2015-08-03,Supplier-447,NA,2015
Ship-13,367515617501,601.026.130,"O-ring, Viton",30,321.0975,2015-06-17,2015-06-23,Delivery Place-105,2015-07-02,Supplier-447,NA,2015
Ship-13,367515617501,601.026.033,"O-ring, Viton",16,321.0975,2015-06-17,2015-06-23,Delivery Place-105,2015-07-02,Supplier-447,NA,2015
Ship-13,367515617501,601.026.128,"O-ring, Viton",30,321.0975,2015-06-17,2015-06-23,Delivery Place-105,2015-07-02,Supplier-447,NA,2015
Ship-13,367515617501,601.028.004,"O-ring, Viton",30,237.85,2015-06-17,2015-06-23,Delivery Place-105,2015-07-02,Supplier-447,NA,2015
Ship-13,367515617501,601.026.126,"O-ring, Viton",30,321.0975,2015-06-17,2015-06-23,Delivery Place-105,2015-07-02,Supplier-447,NA,2015
Ship-13,367515617501,601.003.011,Gasket,16,237.85,2015-06-17,2015-06-23,Delivery Place-105,2015-07-02,Supplier-447,NA,2015
Ship-13,367515617501,601.003.013,O-ring,60,321.0975,2015-06-17,2015-06-23,Delivery Place-105,2015-07-02,Supplier-447,NA,2015
Ship-19,376315612701,601.068.010,Speed Pick Up,2,11166.986499999999,2015-06-18,2015-08-07,Delivery Place-84,2015-09-03,Supplier-256,177.5,2015
Ship-20,376415614601,601.026.131,"O-ring, Viton",20,321.0975,2015-06-26,2015-08-19,Delivery Place-105,2015-10-10,Supplier-447,NA,2015
Ship-20,376415614601,601.026.130,Screw,10,237.85,2015-06-26,2015-08-19,Delivery Place-105,2015-10-10,Supplier-447,NA,2015
Ship-20,376415614601,601.026.128,Spindle guide incl. nozzle,14,98588.825,2015-06-26,2015-08-19,Delivery Place-105,2015-10-10,Supplier-447,NA,2015
Ship-19,376315611501,601.004.005,Piston Ring No. 1,2,18130.719281400005,2015-06-29,2015-07-05,Delivery Place-84,2015-09-03,Supplier-703,NA,2015
Ship-11,356715616201,601.026.327,"Temperature Transmitter Part no.: 084Z8013 MBT 5250 G 3/4"" 100 mm Temperature range: -50 to +200 deg Celsius 1071333 Johnson Controls Pt100 ohm Danfoss Made in China BE2713A",3,8875,2015-06-30,2015-08-04,Delivery Place-105,2015-10-07,Supplier-614,NA,2015
Ship-11,356715617401,601.003.014,Gasket,22,3746.1375000000003,2015-07-09,2015-07-13,Delivery Place-105,2015-08-06,Supplier-447,NA,2015
Ship-11,356715617401,601.003.013,Sealing Ring,40,321.0975,2015-07-09,2015-07-13,Delivery Place-105,2015-08-06,Supplier-447,NA,2015
Ship-11,356715617401,601.002.005,O-Ring,20,3746.1375000000003,2015-07-09,2015-07-13,Delivery Place-105,2015-08-06,Supplier-447,NA,2015
Ship-20,376415615901,601.002.075,Bottom Piece,2,45858.3467609,2015-07-14,2015-08-20,Delivery Place-84,2015-10-10,Supplier-703,NA,2015
Ship-20,376415615901,601.002.078,Valve Spindle,2,127956.91481025,2015-07-14,2015-08-20,Delivery Place-84,2015-10-10,Supplier-703,NA,2015
Ship-20,376415615901,601.002.073,Spring Pin,7,368.51055449999996,2015-07-14,2015-08-20,Delivery Place-84,2015-10-10,Supplier-703,NA,2015
Ship-9,356415610401,601.054.003,Sealing ring,20,808.69,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.054.007,Spring pin,10,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.050.091,Gasket,16,451.915,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.116,Elbow coupling,8,2556.8875000000003,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.050.124,Packing ring,30,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.050.125,Screw,10,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.110,Valve spindle,8,7611.2,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.050.097,"Spring, compr. right-hand",10,4697.5374999999995,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.111,"O-ring, Viton",10,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.100,Sealing air control unit,1,38174.924999999996,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.007,Screw,20,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.050.102,Split pin,20,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.011,Guide pin,10,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.054.004,Sliding bearing,5,3151.5125000000003,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.006,Cooling jacket,1,108935.3,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.002.109,Spring,10,1427.1000000000001,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-9,356415610401,601.050.101,"O-ring, silicone",20,237.85,2015-07-16,2015-08-20,Delivery Place-105,2015-09-01,Supplier-447,NA,2015
Ship-11,356715617901,601.053.241,Ball Cock,1,84062.5317484,2015-07-16,2015-09-01,Delivery Place-75,2015-10-07,Supplier-446,1775,2015
Ship-11,356715617901,601.053.233,Container,1,158373.93658920002,2015-07-16,2015-09-01,Delivery Place-75,2015-10-07,Supplier-446,1775,2015
Ship-11,356715617901,601.053.234,Screw Plug,1,14219.953215200003,2015-07-16,2015-09-01,Delivery Place-75,2015-10-07,Supplier-446,1775,2015
Ship-19,376315610501,601.059.052,Packing,4,336.12629365000004,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.049,Washer,10,52.48483655,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.057,Washer,10,59.185028450000004,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.058,Screw,8,96.0360839,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.059,Screw,10,112.78656365,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.047,Insulation Material,3,19606.994896700002,2015-07-17,2016-02-28,Delivery Place-84,NA,Supplier-703,NA,2015
Ship-19,376315610501,601.059.003,Gasket,4,21716.43864655,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.056,Packing,4,3082.088274,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.007,Washer,8,24.5673703,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.051,Compensator,2,37789.082316,2015-07-17,2016-02-28,Delivery Place-84,2016-03-10,Supplier-703,NA,2015
Ship-19,376315610501,601.059.008,Screw,8,614.1842575000001,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-19,376315610501,601.059.006,Nut,8,52.48483655,2015-07-17,2016-02-28,Delivery Place-84,2016-09-01,Supplier-703,NA,2015
Ship-20,376415617501,601.004.023,Scraper ring,2,20574.024999999998,2015-07-21,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-20,376415617501,601.004.039,Scraper ring,1,27590.600000000002,2015-07-21,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-20,376415617501,601.004.028,"Sealing ring, complete",2,16173.800000000001,2015-07-21,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-11,356715617801,601.002.003,Cylinder Cover IMO Number 1845636-4,1,321050.861875,2015-07-22,2015-07-24,Delivery Place-136,2015-08-17,Supplier-526,14324.25,2015
Ship-20,376415618101,601.002.135,Sealing ring f. valve stem,20,3210.975,2015-07-22,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-20,376415618101,601.002.083,Cooling water connection,2,11714.112500000001,2015-07-22,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-20,376415618101,601.002.143,"O-ring, Viton",7,404.345,2015-07-22,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-20,376415618101,601.002.076,"O-ring, Viton",7,2021.7250000000001,2015-07-22,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-20,376415618101,601.002.077,"U-sealing ring, PTFE",7,7432.8125,2015-07-22,2015-07-31,Delivery Place-105,2015-09-02,Supplier-447,NA,2015
Ship-11,356715618401,601.042.139,Inductive sensor,3,18611.7625,2015-07-28,2015-09-22,Delivery Place-105,2015-10-08,Supplier-447,NA,2015
Ship-11,356715618401,601.042.111,Lubricator,1,196642.48750000002,2015-07-28,2015-09-22,Delivery Place-105,2015-10-08,Supplier-447,NA,2015
Ship-11,356715618401,601.042.112,"O-ring, Viton",30,237.85,2015-07-28,2015-09-22,Delivery Place-105,2015-10-08,Supplier-447,NA,2015
Ship-11,356715618101,601.079.228,Temp. sensor L=100mm,8,11714.112500000001,2015-07-29,2015-10-20,Delivery Place-105,2015-11-20,Supplier-447,NA,2015
Ship-21,376515612601,601.028.009,O-Ring,20,34.61765815,2015-08-10,2015-11-16,Delivery Place-75,2015-12-15,Supplier-702,6390,2015
Ship-21,376515612601,601.028.001,High-Pressure Pipe,2,25579.0992769,2015-08-10,2015-11-16,Delivery Place-75,2015-12-15,Supplier-702,6390,2015
Ship-21,376515613801,601.026.127,"O-ring, Viton",30,321.0975,2015-09-02,2015-09-20,Delivery Place-105,2015-11-12,Supplier-447,NA,2015
Ship-21,376515613801,601.026.135,"O-ring, Viton",30,321.0975,2015-09-02,2015-09-20,Delivery Place-105,2015-11-12,Supplier-447,NA,2015
Ship-21,376515613801,601.026.133,"O-ring, Viton",30,321.0975,2015-09-02,2015-09-20,Delivery Place-105,2015-11-12,Supplier-447,NA,2015
Ship-21,376515613801,601.026.128,Spindle guide incl. nozzle,4,98588.825,2015-09-02,2015-09-20,Delivery Place-105,2015-11-12,Supplier-447,NA,2015
Ship-10,356515622701,601.059.020,Stud,12,1117.895,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.059.017,Washer,24,237.85,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.074,Screw,24,237.85,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.134,O-Ring,12,321.0975,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.059.015,Screw,12,237.85,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.140,Seal Ring,14,5767.8625,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.078,Valve Spindle,2,213589.30000000002,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.059.016,Screw*,12,4638.075,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.143,O-Ring,8,404.345,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.059.018,Nut,24,237.85,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.135,Sealing Ring,24,3210.975,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.059.058,Square Section Seal Ring For Exh Pipe,12,17660.3625,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.075,Bottom Piece,4,47153.762500000004,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.059.002,Washer,12,237.85,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-10,356515622701,601.002.168,Piston Ring,8,3627.2125,2015-09-29,2015-11-06,Delivery Place-105,2015-10-26,Supplier-447,NA,2015
Ship-20,376415626501,601.002.116,Elbow coupling,1,2556.8875000000003,2015-10-22,2015-10-26,Delivery Place-105,2015-12-02,Supplier-447,NA,2015
Ship-20,376415626501,601.002.104,Throttle valve,3,10346.475,2015-10-22,2015-10-26,Delivery Place-105,2015-12-02,Supplier-447,NA,2015
